                        domain                         |       ip        
 www-origin.sonymobile.co.jp                           | 44.231.181.91
 *.sony.com.cn                                         | 52.81.0.95
 *.sony.com.cn                                         | 52.81.2.40
 *.sony.com.cn                                         | 52.81.158.27
 *.sony.com.cn                                         | 52.81.7.212
 *.sony.com.cn                                         | 52.81.171.91
 *.csn.sony.net                                        | 18.214.105.109
 *.sony.com.cn                                         | 52.81.173.96
 *.sonyliv.com                                         | 46.51.218.230
 ets.sony.com                                          | 18.214.143.171
 *.sonyliv.com                                         | 13.233.60.23
 habitat.builder.gis.sony.com                          | 18.215.106.122
 sptaws-alb-qa.spe.sony.com                            | 100.20.208.2
 *.dev.sagent.sonymobile.com                           | 100.20.250.69
 *.sonyliv.com                                         | 13.232.145.118
 *.sonyliv.com                                         | 13.232.113.143
 *.sonyliv.com                                         | 13.232.95.212
 *.sonyliv.com                                         | 13.232.212.153
 *.sonyliv.com                                         | 13.234.3.55
 *.sonyliv.com                                         | 13.232.140.208
 *.sonyliv.com                                         | 13.232.113.245
 *.sonyliv.com                                         | 13.232.194.249
 *.sonyliv.com                                         | 13.232.152.102
 *.sonyliv.com                                         | 13.232.61.244
 *.sonyliv.com                                         | 13.232.100.152
 *.sonyliv.com                                         | 13.232.117.61
 *.sonyliv.com                                         | 13.232.148.18
 *.sonyliv.com                                         | 13.232.225.111
 *.sonyliv.com                                         | 13.232.157.196
 *.sonyliv.com                                         | 13.232.19.243
 *.sonyliv.com                                         | 13.232.242.95
 *.sonyliv.com                                         | 13.232.36.187
 *.sonyliv.com                                         | 13.234.60.232
 *.sonyliv.com                                         | 13.234.224.226
 *.sonyliv.com                                         | 13.233.240.146
 *.sonyliv.com                                         | 13.234.129.55
 *.sonyliv.com                                         | 13.234.137.116
 *.sonyliv.com                                         | 13.234.65.69
 *.sonyliv.com                                         | 13.233.72.39
 *.sonyliv.com                                         | 13.233.241.14
 *.sonyliv.com                                         | 13.234.46.42
 *.sonyliv.com                                         | 13.234.169.101
 *.sonyliv.com                                         | 13.234.160.102
